angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6369,79.806015,1570,39.623226,4.056688,0.028177
05,00,1,1,Average,5,6138,78.345389,1754,41.880783,3.499430,0.027075
10,00,1,1,Average,5,6168,78.536616,2010,44.833024,3.068657,0.025683
15,00,1,1,Average,5,6190,78.676553,2179,46.679760,2.840753,0.024909
20,00,1,1,Average,5,6079,77.967942,2466,49.658836,2.465126,0.023875
25,00,1,1,Average,5,5778,76.013157,2604,51.029403,2.218894,0.023603
30,00,1,1,Average,5,5685,75.398939,2801,52.924474,2.029632,0.023085
35,00,1,1,Average,5,5322,72.952039,2993,54.708317,1.778149,0.022848
40,00,1,1,Average,5,4912,70.085662,2993,54.708317,1.641163,0.023188
45,00,1,1,Average,5,4542,67.394362,3127,55.919585,1.452510,0.023237
50,00,1,1,Average,5,3895,62.409935,3080,55.497748,1.264610,0.024113
55,00,1,1,Average,5,3044,55.172457,2949,54.304696,1.032214,0.025838
60,00,1,1,Average,5,2018,44.922155,2766,52.592775,0.729573,0.029276
65,00,1,1,Average,5,860,29.325757,2538,50.378567,0.338849,0.039456
70,00,1,1,Average,5,170,13.038405,2375,48.733972,0.071579,0.079394
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan